datetime,column,original_value,imputed_value
2014-05-01 01:00:00,001019,,98.67261
2014-05-01 01:00:00,001027,,94.72153
2014-05-01 01:00:00,001030,,96.84313
2014-05-01 01:00:00,001035,,92.13799
2014-05-01 01:00:00,001036,,112.048744
2014-05-01 02:00:00,001019,,106.72304
2014-05-01 02:00:00,001022,,94.1635
2014-05-01 02:00:00,001027,,97.19239
2014-05-01 02:00:00,001030,,95.87915
2014-05-01 02:00:00,001035,,97.333275
2014-05-01 02:00:00,001036,,113.692856
2014-05-01 03:00:00,001019,,115.40785
2014-05-01 03:00:00,001027,,100.08881
2014-05-01 03:00:00,001030,,96.958466
2014-05-01 03:00:00,001035,,107.87219
2014-05-01 03:00:00,001036,,117.52722
2014-05-01 04:00:00,001019,,124.03659
2014-05-01 04:00:00,001027,,103.91992
2014-05-01 04:00:00,001030,,98.046906
2014-05-01 04:00:00,001035,,108.16125
2014-05-01 04:00:00,001036,,122.40651
2014-05-01 05:00:00,001001,,126.87244
2014-05-01 05:00:00,001019,,130.79083
2014-05-01 05:00:00,001027,,106.815926
2014-05-01 05:00:00,001030,,100.92446
2014-05-01 05:00:00,001035,,116.8844
2014-05-01 05:00:00,001036,,127.460655
2014-05-01 06:00:00,001001,,123.81201
2014-05-01 06:00:00,001019,,139.44342
2014-05-01 06:00:00,001027,,109.465385
2014-05-01 06:00:00,001030,,103.02626
2014-05-01 06:00:00,001035,,121.262375
2014-05-01 06:00:00,001036,,132.81775
2014-05-01 07:00:00,001001,,120.675354
2014-05-01 07:00:00,001019,,146.42946
2014-05-01 07:00:00,001027,,111.93099
2014-05-01 07:00:00,001030,,106.15765
2014-05-01 07:00:00,001035,,125.939964
2014-05-01 07:00:00,001036,,138.78276
2014-05-01 08:00:00,001019,,158.21407
2014-05-01 08:00:00,001027,,118.18501
2014-05-01 08:00:00,001030,,110.1533
2014-05-01 08:00:00,001035,,134.94727
2014-05-01 08:00:00,001036,,143.77695
2014-05-01 09:00:00,001019,,168.94872
2014-05-01 09:00:00,001027,,128.18373
2014-05-01 09:00:00,001030,,117.39844
2014-05-01 09:00:00,001035,,140.63548
2014-05-01 09:00:00,001036,,149.78049
2014-05-01 10:00:00,001019,,176.3702
2014-05-01 10:00:00,001027,,147.64273
2014-05-01 10:00:00,001035,,148.71742
2014-05-01 10:00:00,001036,,157.74911
2014-05-01 11:00:00,001002,,135.13354
2014-05-01 11:00:00,001019,,174.23401
2014-05-01 11:00:00,001027,,164.79199
2014-05-01 11:00:00,001035,,145.2308
2014-05-01 11:00:00,001036,,162.8211
2014-05-01 12:00:00,001002,,136.2648
2014-05-01 12:00:00,001019,,164.0071
2014-05-01 12:00:00,001027,,173.30077
2014-05-01 12:00:00,001035,,135.4384
2014-05-01 12:00:00,001036,,167.41531
2014-05-01 13:00:00,001019,,148.54947
2014-05-01 13:00:00,001027,,176.06818
2014-05-01 13:00:00,001035,,130.17343
2014-05-01 13:00:00,001036,,170.42389
2014-05-01 14:00:00,001019,,143.55481
2014-05-01 14:00:00,001027,,175.57027
2014-05-01 14:00:00,001035,,129.93048
2014-05-01 14:00:00,001036,,169.77876
2014-05-01 15:00:00,001019,,142.22078
2014-05-01 15:00:00,001027,,170.6871
2014-05-01 15:00:00,001035,,125.61731
2014-05-01 15:00:00,001036,,173.50897
2014-05-01 16:00:00,001003,,187.68326
2014-05-01 16:00:00,001019,,131.33069
2014-05-01 16:00:00,001027,,160.45941
2014-05-01 16:00:00,001035,,115.317444
2014-05-01 16:00:00,001036,,170.41553
2014-05-01 17:00:00,001019,,122.71781
2014-05-01 17:00:00,001027,,145.22827
2014-05-01 17:00:00,001035,,113.658295
2014-05-01 17:00:00,001036,,165.91301
2014-05-01 18:00:00,001019,,117.49077
2014-05-01 18:00:00,001027,,121.335236
2014-05-01 18:00:00,001035,,112.75484
2014-05-01 18:00:00,001036,,158.95628
2014-05-01 19:00:00,001019,,116.49192
2014-05-01 19:00:00,001027,,92.86965
2014-05-01 19:00:00,001035,,103.733604
2014-05-01 19:00:00,001036,,148.22691
2014-05-01 20:00:00,001019,,112.970146
2014-05-01 20:00:00,001027,,83.41523
2014-05-01 20:00:00,001035,,104.135544
2014-05-01 20:00:00,001036,,137.56659
2014-05-01 21:00:00,001019,,105.41756
2014-05-01 21:00:00,001027,,78.40596
2014-05-01 21:00:00,001032,,89.62911
2014-05-01 21:00:00,001035,,95.635124
2014-05-01 21:00:00,001036,,110.590004
2014-05-01 22:00:00,001019,,94.57116
2014-05-01 22:00:00,001027,,65.35344
2014-05-01 22:00:00,001032,,78.687744
2014-05-01 22:00:00,001035,,78.3208
2014-05-01 22:00:00,001036,,87.3786
2014-05-01 23:00:00,001019,,71.393196
2014-05-01 23:00:00,001027,,54.502197
2014-05-01 23:00:00,001032,,66.844604
2014-05-01 23:00:00,001035,,65.21625
2014-05-01 23:00:00,001036,,69.28156
2014-05-02 00:00:00,001019,,53.30735
2014-05-02 00:00:00,001027,,47.72608
2014-05-02 00:00:00,001032,,56.628635
2014-05-02 00:00:00,001035,,51.16669
2014-05-02 00:00:00,001036,,56.9217
2014-05-02 01:00:00,001019,,45.945656
2014-05-02 01:00:00,001027,,42.8285
2014-05-02 01:00:00,001032,,50.995506
2014-05-02 01:00:00,001035,,44.80817
2014-05-02 01:00:00,001036,,49.72838
2014-05-02 02:00:00,001019,,40.58203
2014-05-02 02:00:00,001027,,37.705055
2014-05-02 02:00:00,001032,,38.845207
2014-05-02 02:00:00,001035,,37.415707
2014-05-02 02:00:00,001036,,41.003235
2014-05-02 03:00:00,001019,,39.916985
2014-05-02 03:00:00,001027,,30.771255
2014-05-02 03:00:00,001032,,27.644878
2014-05-02 03:00:00,001035,,33.081284
2014-05-02 03:00:00,001036,,35.686584
2014-05-02 04:00:00,001019,,36.142616
2014-05-02 04:00:00,001027,,26.081997
2014-05-02 04:00:00,001032,,20.770542
2014-05-02 04:00:00,001035,,28.766296
2014-05-02 04:00:00,001036,,31.99517
2014-05-02 05:00:00,001018,,32.73638
2014-05-02 05:00:00,001019,,33.62597
2014-05-02 05:00:00,001027,,22.322876
2014-05-02 05:00:00,001032,,17.03637
2014-05-02 05:00:00,001035,,26.431747
2014-05-02 05:00:00,001036,,30.51332
2014-05-02 06:00:00,001018,,29.594711
2014-05-02 06:00:00,001019,,27.865288
2014-05-02 06:00:00,001027,,19.799347
2014-05-02 06:00:00,001032,,16.285442
2014-05-02 06:00:00,001035,,25.44133
2014-05-02 06:00:00,001036,,28.152
2014-05-02 07:00:00,001018,,26.096992
2014-05-02 07:00:00,001019,,25.108688
2014-05-02 07:00:00,001027,,17.33559
2014-05-02 07:00:00,001032,,16.422058
2014-05-02 07:00:00,001035,,22.824959
2014-05-02 07:00:00,001036,,25.251732
2014-05-02 08:00:00,001018,,22.309082
2014-05-02 08:00:00,001019,,18.998695
2014-05-02 08:00:00,001027,,14.727203
2014-05-02 08:00:00,001032,,12.54306
2014-05-02 08:00:00,001035,,18.98619
2014-05-02 08:00:00,001036,,21.32663
2014-05-02 09:00:00,001008,,15.268898
2014-05-02 09:00:00,001018,,18.601799
2014-05-02 09:00:00,001019,,16.155342
2014-05-02 09:00:00,001027,,17.194054
2014-05-02 09:00:00,001032,,14.132538
2014-05-02 09:00:00,001035,,17.243515
2014-05-02 09:00:00,001036,,19.188812
2014-05-02 10:00:00,001003,,31.953014
2014-05-02 10:00:00,001018,,22.859772
2014-05-02 10:00:00,001019,,19.436852
2014-05-02 10:00:00,001027,,30.134544
2014-05-02 10:00:00,001032,,16.052444
2014-05-02 10:00:00,001035,,19.547523
2014-05-02 10:00:00,001036,,24.219048
2014-05-02 11:00:00,001018,,31.320366
2014-05-02 11:00:00,001019,,26.165688
2014-05-02 11:00:00,001027,,26.273155
2014-05-02 11:00:00,001032,,18.515896
2014-05-02 11:00:00,001035,,25.481255
2014-05-02 11:00:00,001036,,29.827751
2014-05-02 12:00:00,001018,,35.013573
2014-05-02 12:00:00,001019,,30.078178
2014-05-02 12:00:00,001027,,27.731018
2014-05-02 12:00:00,001032,,23.51036
2014-05-02 12:00:00,001035,,31.170181
2014-05-02 12:00:00,001036,,30.673225
2014-05-02 13:00:00,001018,,25.164474
2014-05-02 13:00:00,001019,,22.081306
2014-05-02 13:00:00,001027,,22.793415
2014-05-02 13:00:00,001032,,13.936943
2014-05-02 13:00:00,001035,,28.875664
2014-05-02 13:00:00,001036,,24.941833
2014-05-02 14:00:00,001018,,21.848145
2014-05-02 14:00:00,001019,,18.848068
2014-05-02 14:00:00,001027,,20.12362
2014-05-02 14:00:00,001032,,11.909382
2014-05-02 14:00:00,001036,,22.08805
2014-05-02 15:00:00,001018,,19.742722
2014-05-02 15:00:00,001019,,18.183662
2014-05-02 15:00:00,001027,,19.641193
2014-05-02 15:00:00,001032,,11.339809
2014-05-02 15:00:00,001036,,20.133682
2014-05-02 16:00:00,001018,,18.60022
2014-05-02 16:00:00,001019,,18.627296
2014-05-02 16:00:00,001027,,16.604244
2014-05-02 16:00:00,001032,,11.925556
